ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|itn_easting|itn_northing|itn_toid|itn_toid_version|distance|address_detail|street_name|locality|geographic_county|postcode|verified_address|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
17132845|St Matthew's Episcopal Church|06340459|258912|668399|1||0001000040415097|8|258879.6|668390.5|4000000005161233|7|33.5||||Strathclyde|G22|N|Glasgow City||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17132307|Kilbarchan Old Parish Church|06340459|240120|663235|1||0001000040031052|4|240148.5|663228.7|4000000005088675|8|29.2||||Strathclyde|PA10|N|Renfrewshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126569|Free Church of Scotland|06340459|268321|870216|1||0001000038846412|4|268332.2|870196.6|4000000003550361|1|22.4||||Highland|IV18|N|Highland||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17134043|Holytown Church|06340459|277312|660778|1||0001000041051795|4|277312.4|660817.2|5000005102279537|2|39.2||||Strathclyde|ML1|N|North Lanarkshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126329|Boleskine Parish Church|06340459|250751|818246|1||0001000038788969|4|250706.8|818252.5|4000000003512383|9|44.7||||Highland|IV2|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17137016|St Ninian's Parish Church|06340459|336038|672732|1||0001000036713159|2|336032.7|672749.7|4000000006259777|5|18.5||||Lothian|EH21|N|East Lothian||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18213618|Bridgend Gospel Hall|06340459|230589|643344|1||0001000039882022|4|230608.1|643362.4|4000000005076427|5|26.5||||Strathclyde|KA13|N|North Ayrshire||||Religion|Other (Christian)|Ordnance Survey|2015-12-01
17133192|St Thomas' Church|06340459|269952|627773|1||0001000040620035|5|269974.5|627741.6|4000000005103378|6|38.6||||Strathclyde|KA18|N|East Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176413|Kilmonivaig Parish Church|06340459|221282|781935|1||0001000039293561|5|221262.4|781986.9|4000000004298119|8|55.5||||Highland|PH34|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17133274|East Kilbride Parish Church|06340459|263549|654524|1||0001000040517325|3|263572|654563.2|4000000005115986|8|45.5||||Strathclyde|G74|N|South Lanarkshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
